Time,Predicted pooled reads,Skew,Incidence (pop),Prevalence (pop),S (pop),I (pop),R (pop),S (sample),I (sample),R (sample),Sim no
60.0,0.88,-0.641,0.0013666666666666666,0.20276666666666668,527,6083,23390,0,8,42,14
60.0,2.28,-1.3304,0.0013666666666666666,0.20276666666666668,527,6083,23390,0,16,34,15
60.0,1.48,-0.3867,0.0013666666666666666,0.20276666666666668,527,6083,23390,0,10,40,16
60.0,0.18,0.0124,0.0013666666666666666,0.20276666666666668,527,6083,23390,1,11,38,17
60.0,3.68,1.1798,0.0013666666666666666,0.20276666666666668,527,6083,23390,1,12,37,18
60.0,0.1,2.8211,0.0013666666666666666,0.20276666666666668,527,6083,23390,0,10,40,19
60.0,0.22,-0.3687,0.0013666666666666666,0.20276666666666668,527,6083,23390,0,11,39,20
60.0,35.58,-1.9527,0.0013666666666666666,0.20276666666666668,527,6083,23390,1,13,36,21
60.0,0.22,-0.4196,0.0013666666666666666,0.20276666666666668,527,6083,23390,0,11,39,22
60.0,1.2,-1.0445,0.0013666666666666666,0.20276666666666668,527,6083,23390,3,6,41,23
60.0,0.08,0.8052,0.0013666666666666666,0.20276666666666668,527,6083,23390,1,5,44,24
60.0,0.28,-0.2,0.0013666666666666666,0.20276666666666668,527,6083,23390,0,7,43,25
60.0,16.24,-1.8088,0.0013666666666666666,0.20276666666666668,527,6083,23390,1,10,39,26
60.0,0.16,1.2193,0.0013666666666666666,0.20276666666666668,527,6083,23390,0,11,39,27
60.0,2.38,-1.2949,0.0013666666666666666,0.20276666666666668,527,6083,23390,2,10,38,28
60.0,0.32,0.4201,0.0013666666666666666,0.20276666666666668,527,6083,23390,1,12,37,29
60.0,2.46,-1.394,0.0013666666666666666,0.20276666666666668,527,6083,23390,0,7,43,30
60.0,0.82,-0.6062,0.0013666666666666666,0.20276666666666668,527,6083,23390,2,18,30,31
60.0,0.9,0.5723,0.0013666666666666666,0.20276666666666668,527,6083,23390,0,6,44,32
60.0,0.8,-0.552,0.0013666666666666666,0.20276666666666668,527,6083,23390,1,7,42,33
60.0,0.98,-1.3443,0.0013666666666666666,0.20276666666666668,527,6083,23390,1,13,36,34
60.0,0.14,1.9732,0.0013666666666666666,0.20276666666666668,527,6083,23390,1,17,32,35
60.0,0.7,0.7678,0.0013666666666666666,0.20276666666666668,527,6083,23390,0,10,40,36
60.0,2.16,-2.3407,0.0013666666666666666,0.20276666666666668,527,6083,23390,1,10,39,37
60.0,0.16,0.005,0.0013666666666666666,0.20276666666666668,527,6083,23390,3,11,36,38
60.0,0.14,0.6822,0.0013666666666666666,0.20276666666666668,527,6083,23390,2,15,33,39
60.0,0.1,2.3038,0.0013666666666666666,0.20276666666666668,527,6083,23390,2,13,35,40
60.0,0.14,0.6283,0.0013666666666666666,0.20276666666666668,527,6083,23390,1,13,36,41
60.0,12.34,-2.2349,0.0013666666666666666,0.20276666666666668,527,6083,23390,0,14,36,42
60.0,0.06,0.6632,0.0013666666666666666,0.20276666666666668,527,6083,23390,0,10,40,43
60.0,6.88,-1.9156,0.0013666666666666666,0.20276666666666668,527,6083,23390,0,7,43,44
60.0,0.36,0.3454,0.0013666666666666666,0.20276666666666668,527,6083,23390,0,8,42,45
60.0,0.1,1.2399,0.0013666666666666666,0.20276666666666668,527,6083,23390,1,10,39,46
60.0,0.2,0.5129,0.0013666666666666666,0.20276666666666668,527,6083,23390,2,6,42,47
60.0,0.02,1.1353,0.0013666666666666666,0.20276666666666668,527,6083,23390,2,11,37,48
60.0,3.6,-1.7009,0.0013666666666666666,0.20276666666666668,527,6083,23390,0,7,43,49
60.0,2.94,-2.563,0.0013666666666666666,0.20276666666666668,527,6083,23390,1,13,36,50
60.0,8.32,-1.2533,0.0013666666666666666,0.20276666666666668,527,6083,23390,0,15,35,51
60.0,0.16,0.8369,0.0013666666666666666,0.20276666666666668,527,6083,23390,2,9,39,52
60.0,2.96,1.1567,0.0013666666666666666,0.20276666666666668,527,6083,23390,1,8,41,53
60.0,0.08,1.5829,0.0013666666666666666,0.20276666666666668,527,6083,23390,0,9,41,54
60.0,20.68,-1.2555,0.0013666666666666666,0.20276666666666668,527,6083,23390,0,9,41,55
60.0,454.2,-2.9475,0.0013666666666666666,0.20276666666666668,527,6083,23390,2,16,32,56
60.0,0.04,0.0589,0.0013666666666666666,0.20276666666666668,527,6083,23390,3,8,39,57
60.0,0.16,1.0143,0.0013666666666666666,0.20276666666666668,527,6083,23390,1,8,41,58
60.0,1.46,-1.3874,0.0013666666666666666,0.20276666666666668,527,6083,23390,2,9,39,59
60.0,0.14,-3.0E-4,0.0013666666666666666,0.20276666666666668,527,6083,23390,1,11,38,60
60.0,0.14,0.086,0.0013666666666666666,0.20276666666666668,527,6083,23390,2,6,42,61
60.0,0.1,1.1643,0.0013666666666666666,0.20276666666666668,527,6083,23390,2,12,36,62
60.0,0.24,-0.0012,0.0013666666666666666,0.20276666666666668,527,6083,23390,3,7,40,63
60.0,2.04,-0.6126,0.0013666666666666666,0.20276666666666668,527,6083,23390,2,12,36,64
60.0,0.96,-0.4266,0.0013666666666666666,0.20276666666666668,527,6083,23390,2,9,39,65
60.0,0.56,-0.7529,0.0013666666666666666,0.20276666666666668,527,6083,23390,0,8,42,66
60.0,0.26,0.3905,0.0013666666666666666,0.20276666666666668,527,6083,23390,2,7,41,67
60.0,0.28,1.3219,0.0013666666666666666,0.20276666666666668,527,6083,23390,0,10,40,68
60.0,0.18,1.1461,0.0013666666666666666,0.20276666666666668,527,6083,23390,0,7,43,69
60.0,0.08,0.8416,0.0013666666666666666,0.20276666666666668,527,6083,23390,0,14,36,70
60.0,0.12,0.0313,0.0013666666666666666,0.20276666666666668,527,6083,23390,0,9,41,71
60.0,5.88,-2.1217,0.0013666666666666666,0.20276666666666668,527,6083,23390,2,9,39,72
60.0,2.98,-1.3277,0.0013666666666666666,0.20276666666666668,527,6083,23390,0,13,37,73
60.0,0.12,0.4345,0.0013666666666666666,0.20276666666666668,527,6083,23390,0,9,41,74
60.0,2.76,-2.8537,0.0013666666666666666,0.20276666666666668,527,6083,23390,0,7,43,75
60.0,0.1,0.8356,0.0013666666666666666,0.20276666666666668,527,6083,23390,0,10,40,76
60.0,0.26,0.314,0.0013666666666666666,0.20276666666666668,527,6083,23390,0,7,43,77
60.0,0.44,0.6,0.0013666666666666666,0.20276666666666668,527,6083,23390,3,6,41,78
60.0,6.94,-2.5354,0.0013666666666666666,0.20276666666666668,527,6083,23390,0,13,37,79
60.0,0.24,0.6332,0.0013666666666666666,0.20276666666666668,527,6083,23390,0,13,37,80
60.0,0.06,3.2386,0.0013666666666666666,0.20276666666666668,527,6083,23390,1,5,44,81
60.0,0.72,-0.845,0.0013666666666666666,0.20276666666666668,527,6083,23390,1,14,35,82
60.0,3.3,-0.8394,0.0013666666666666666,0.20276666666666668,527,6083,23390,1,12,37,83
60.0,5.26,-2.9539,0.0013666666666666666,0.20276666666666668,527,6083,23390,0,12,38,84
60.0,0.14,-0.4996,0.0013666666666666666,0.20276666666666668,527,6083,23390,1,9,40,85
60.0,0.16,1.5061,0.0013666666666666666,0.20276666666666668,527,6083,23390,2,8,40,86
60.0,12.7,-1.7081,0.0013666666666666666,0.20276666666666668,527,6083,23390,0,8,42,87
60.0,0.72,-0.9251,0.0013666666666666666,0.20276666666666668,527,6083,23390,1,8,41,88
60.0,0.2,0.2198,0.0013666666666666666,0.20276666666666668,527,6083,23390,0,11,39,89
60.0,0.42,-1.5791,0.0013666666666666666,0.20276666666666668,527,6083,23390,0,9,41,90
60.0,0.16,1.0887,0.0013666666666666666,0.20276666666666668,527,6083,23390,1,8,41,91
60.0,0.06,1.8698,0.0013666666666666666,0.20276666666666668,527,6083,23390,3,6,41,92
60.0,32.82,-3.5683,0.0013666666666666666,0.20276666666666668,527,6083,23390,1,11,38,93
60.0,0.1,1.4004,0.0013666666666666666,0.20276666666666668,527,6083,23390,1,9,40,94
60.0,0.22,1.3514,0.0013666666666666666,0.20276666666666668,527,6083,23390,0,9,41,95
