Id,birth,death|
602,21.0,59.0
603,21.0,22.0
604,21.0,22.0
605,21.0,37.0
606,21.0,33.0
607,21.0,30.0
608,21.0,27.0
609,21.0,30.0
610,21.0,25.0
611,21.0,33.0
612,21.0,27.0
613,21.0,23.0
614,21.0,22.0
615,21.0,23.0
616,21.0,29.0
617,21.0,33.0
618,21.0,22.0
619,21.0,40.0
620,21.0,24.0
621,21.0,84.0
622,21.0,37.0
623,21.0,22.0
624,21.0,28.0
625,21.0,43.0
626,21.0,55.0
627,21.0,26.0
628,21.0,36.0
629,21.0,53.0
630,21.0,21.0
631,21.0,31.0
632,21.0,23.0
633,21.0,22.0
634,21.0,31.0
635,21.0,36.0
636,21.0,58.0
637,21.0,31.0
638,21.0,22.0
639,21.0,29.0
640,21.0,35.0
641,21.0,71.0
642,21.0,28.0
643,21.0,25.0
644,21.0,29.0
645,21.0,27.0
646,21.0,44.0
647,21.0,31.0
648,21.0,32.0
649,21.0,67.0
650,22.0,46.0
651,22.0,47.0
652,22.0,41.0
653,22.0,30.0
654,22.0,41.0
655,22.0,47.0
656,22.0,32.0
657,22.0,48.0
658,22.0,22.0
659,22.0,25.0
660,22.0,26.0
661,22.0,27.0
662,22.0,52.0
663,22.0,40.0
664,22.0,40.0
665,22.0,29.0
666,22.0,27.0
667,22.0,22.0
668,22.0,40.0
669,22.0,35.0
670,22.0,59.0
671,22.0,40.0
672,22.0,35.0
673,22.0,22.0
674,22.0,25.0
675,22.0,31.0
676,22.0,32.0
677,22.0,81.0
678,22.0,44.0
679,22.0,32.0
680,22.0,36.0
681,22.0,43.0
682,22.0,64.0
683,22.0,38.0
684,22.0,35.0
685,22.0,35.0
686,22.0,36.0
687,22.0,34.0
688,22.0,36.0
689,22.0,46.0
690,22.0,42.0
691,22.0,41.0
692,22.0,41.0
693,22.0,26.0
694,22.0,27.0
695,22.0,42.0
696,22.0,31.0
697,22.0,78.0
698,22.0,42.0
699,22.0,25.0
700,22.0,35.0
701,22.0,48.0
702,22.0,25.0
703,22.0,59.0
704,22.0,41.0
705,22.0,32.0
706,22.0,37.0
707,22.0,44.0
708,22.0,31.0
709,22.0,24.0
710,22.0,46.0
711,22.0,44.0
712,22.0,35.0
713,22.0,25.0
714,22.0,36.0
715,22.0,77.0
716,22.0,26.0
717,22.0,28.0
718,22.0,41.0
719,22.0,47.0
720,22.0,93.0
721,22.0,24.0
722,22.0,81.0
723,22.0,27.0
724,22.0,42.0
725,22.0,43.0
726,22.0,46.0
727,22.0,81.0
728,22.0,25.0
729,22.0,27.0
730,22.0,37.0
731,22.0,34.0
732,22.0,43.0
733,22.0,51.0
734,22.0,34.0
735,22.0,30.0
736,22.0,25.0
737,22.0,23.0
738,22.0,53.0
739,22.0,44.0
740,22.0,30.0
741,22.0,43.0
742,22.0,37.0
743,22.0,40.0
744,22.0,38.0
745,22.0,63.0
746,22.0,41.0
747,22.0,23.0
748,22.0,65.0
749,22.0,50.0
750,22.0,68.0
751,22.0,24.0
752,22.0,22.0
753,22.0,41.0
754,22.0,41.0
755,22.0,34.0
756,22.0,24.0
757,22.0,119.0
758,22.0,22.0
759,22.0,25.0
760,22.0,56.0
761,22.0,33.0
762,22.0,55.0
763,22.0,42.0
764,22.0,26.0
